Site Code,Faunal mid-depth,MDS code old,MDS code,Agatha simplex,Alaba monile,Alaba translucida,Assiminea tasmanica,Austrocochlea sp,Bankivia fasciatus,Bassina disjecta,Bittium granarium,Biv APA,Biv CP,Biv CV,Biv D,Biv EP,Biv ET,Biv EW,Biv FB,Biv FC,Biv FE,Biv FI,Biv FJ,Biv FK,Biv Z,Callista (Notocallista) diemenensis,Cardita excavata,Chemnitzia mariae,Bembicium sp,Clanculus sp_,Corbula (Varicorbula) gibba,Crassostrea gigas,Cuspidaria brazieri  (check),Diala suturalis,Dolicrossea labiata,Dosinia caerulea,Dosinia crocea (check),Dosinia victoriae,Electroma (Electroma) georgiana,Equichlamys bifrons,Fulvia tenuicostata,Fusinus novohollandiae,Gast EI,Gast EJ,Gast_ E,Gast_ EC,Gast_ ED,Gast_ EF,Gast_ EH,Gastrochaena (Gastrochaena) tasmanica,Gazameda gunnii,Guraleus alucinans,Hemitoma subemarginata,Hiatella australis,Hydrococcus brazieri,Isotriphora sp,Katelysia rhytiphora,Katelysia scalarina,Lasaea australis,Laternula spp or Periploma (Offadesma) angasi,Leionucula obliqua,Limpet A,Limpet D,Litozamia brazieri,Mactra (Electomactra) antecedens,Maoricolpus roseus,Melliteryx acupuncta,Mimachlamys asperrima,Miralda suprasculpta,Mitrella tayloriana?,Musculus sp_,Myadora sp_,Myrtea (Myrtea) mayi,Mysella cf_ lactea,Mysella donaciformis,Nassarius nigellus,Nassarius pauperatus,Nemocardium (Pratulum) thetidis,Nozeba topaziaca,Nucula coura?,Odostomia occultidens,Ostrea angasi,Paphies (Atactodea) erycinaea,Parathyasira cf resupina,Pecten fumatus,Penion mandarinus,Petricola (Velargilla) rubiginosa,Phasianotrochus rutilus,Philine angasi ,Philine sp or retusa sp?,Placamen placidum,Pyrgiscus fusca,Retusa sp_,Scissurella atkinsoni,Seila crocea,Spisula (Notospisula) trigonella,Syrnola bifasciata,Tahunanina subalata,Tellina (Macomona) margaratina,Tellina deltoides,Theora lubrica,Theora fragilis,Thracia cf myodoroides,Thyasira adelaideana (fragments?),Timoclea (Chioneryx) cardioides,Venericardia bimaculata,Venerupis largillierti,Venerupis anomala,Volvulella rostrata (check),Wallucina assimilis,Zafra atkinsoni,Zalapais inscripta? 
IPHC-10,2.5,10_5,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPHC-10,12.5,10_23,10.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
IPHC-10,22.5,10_50,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,13,2,0,0,0,0,0,0,17,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,5,1,11,1,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,1,0,0,2,47,3,0,0,0,0,0,0
IPHC-10,32.5,10_79,10.4,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,32,5,0,0,5,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,31,0,0,0,2,1,0,8,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,2,0,6,73,16,0,0,0,0,0,0
IPHC-10,42.5,10_98,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,2,0,0,0,0,0,0,28,0,0,0,2,0,2,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,5,0,30,1,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,2,0,2,60,11,0,0,0,0,0,0
IPHC-10,52.5,10_>98-1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,30,0,0,0,4,0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,11,0,35,4,0,0,0,0,3,12,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,3,23,2,0,0,0,0,0,0
IPHC-10,62.5,10_>98-2,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,14,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,7,1,0,0,0,0,0,0
IPHC-10,72.5,10_>98-3,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0,0,0,0,0,0,0
IPHC-10,82.5,10_>98-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,0,1,0,3,5,0,0,0,0,1,7,0,0,0,0,2,0,0,1,0,0,2,0,1,5,1,0,1,0,0,0,0
IPHC-10,92.5,10_>98-5,10.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,2,0,0,0,0,0,1,3,0,0,0,0,1,4,0,0,0,0,9,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
IPHC-10,102.5,10_>98-6,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
IPHC-10,112.5,10_>98-7,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPHC-24,2.5,24_1,24.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,1,0,0,0,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,1,23,1,0,0,0,0,0,0
IPHC-24,12.5,24_2,24.2,1,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,0,0,0,0,0,0,24,3,1,3,1,0,33,2,139,0,0,0,0,0,0,0,0,0,1,1,0,85,0,1,1,3,0,1,3,0,0,0,0,0,0,17,1,0,0,7,0,0,9,4,0,40,0,0,1,11,0,0,9,0,0,0,0,3,17,0,15,0,0,0,0,3,7,0,0,0,9,1,562,35,3,0,0,0,3,0
IPHC-24,22.5,24_3,24.3,0,0,6,3,0,1,4,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,59,0,3,0,0,0,0,25,9,3,0,0,0,46,0,108,1,0,0,0,0,0,0,0,2,0,2,1,51,0,0,0,4,3,0,3,0,0,0,0,0,0,8,0,0,0,19,0,0,6,7,0,50,0,0,0,3,0,0,27,0,4,0,0,2,15,0,9,0,0,1,0,1,3,0,0,0,3,8,284,28,0,0,0,0,2,0
IPHC-24,32.5,24_4,24.4,0,0,0,3,0,10,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,94,0,1,0,0,0,0,41,2,3,0,2,3,27,1,150,0,0,0,0,0,0,0,0,1,0,0,0,85,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31,0,1,3,21,0,68,0,0,0,9,0,0,26,0,2,0,0,0,18,0,18,0,0,0,0,0,2,0,0,0,6,2,176,14,0,0,3,2,0,0
IPHC-24,42.5,24_5,24.5,0,0,2,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,54,0,0,0,0,0,1,42,0,0,0,0,2,16,0,313,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,40,0,0,8,17,0,91,0,0,1,14,0,0,16,0,0,0,0,0,11,0,20,0,0,1,1,0,2,0,0,0,7,4,80,4,0,0,0,0,1,0
IPHC-24,52.5,24_6,24.6,0,0,0,4,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,14,2,0,0,0,2,7,0,112,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,6,0,0,2,0,0,0,0,0,0,1,0,0,2,16,0,0,4,12,0,55,0,0,1,3,0,0,9,0,0,0,0,0,12,1,10,0,0,1,0,0,1,0,0,2,2,1,21,2,1,0,0,2,0,0
IPHC-24,62.5,24_7,24.7,0,0,0,21,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,23,0,0,0,1,0,0,0,0,0,0,0,0,14,0,6,0,0,2,1,0,0,3,0,0,1,0,11,0,0,0,0,0,0,0
IPHC-25,2.5,25_8,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IPHC-25,12.5,25_39,25.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,9,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,19,0,0,0,0,0,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,6,1,0,1,27,1,0,0,0,0,0,0
IPHC-25,22.5,25_58,25.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,13,4,0,0,0,1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,8,0,0,0,7,0,27,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,27,4,0,0,0,0,0,0
IPHC-25,32.5,25_103,25.4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,22,6,0,0,1,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,12,0,0,0,9,0,43,2,0,0,3,0,0,10,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,2,28,4,0,0,0,0,0,0
IPHC-25,42.5,25_>103-1,25.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,40,7,3,0,3,0,1,0,55,0,0,0,0,0,0,0,0,0,3,0,0,64,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,27,0,0,0,14,0,51,1,0,0,5,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,7,30,6,0,0,0,0,0,0
IPHC-25,52.5,25_>103-2,25.6,0,0,0,0,0,0,0,2,12,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,30,5,0,0,2,0,3,0,99,0,0,1,0,0,0,0,0,0,0,1,0,63,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,19,0,60,0,0,0,4,0,0,30,0,0,0,0,0,21,1,7,0,0,0,0,0,0,1,0,7,0,8,36,3,0,0,0,0,0,0
IPHC-25,62.5,25_>103-3,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,9,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0
IPHC-25,72.5,25_>103-4,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
IPHC-27,2.5,27_1,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
IPHC-27,12.5,27_2,27.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,1,3,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,5,4,0,0,32,3,0,0,0,0,0,0
IPHC-27,22.5,27_3,27.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,4,4,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,4,0,4,0,0,0,1,0,0,3,0,0,0,0,2,3,0,4,0,0,0,0,0,2,0,5,3,0,1,73,4,0,0,0,0,0,0
IPHC-27,32.5,27_4,27.4,0,0,3,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,5,8,1,2,0,0,10,0,128,1,0,0,0,0,0,0,0,0,0,0,2,24,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,7,1,0,0,2,0,0,15,0,0,0,0,1,10,0,15,0,0,0,0,1,14,0,0,0,3,2,276,3,0,0,0,1,0,0
IPHC-27,42.5,27_5,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,6,7,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,14,0,0,0,1,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,1,4,0,0,154,2,0,0,0,0,0,0
